#sigma,tau
1.4727219931388928,194.06690167990408
1.523837065777886,197.3566650193844
1.464728212777522,201.42026550255693
1.4129411170010093,206.9884121332934
1.5447661213115413,191.98408269470343
1.438649491578412,204.59199290588626
1.4990062896314191,198.87880336888242
1.456530570756609,202.15378761988802
1.4489541103037986,203.32565563527356
1.5968465894391208,191.92017658078495
1.5340553165520574,196.92983477907023
1.6034118573758356,194.16493164461878
1.534838555996287,197.45699811507535
1.4507937676054348,202.51841085995403
1.488813441002801,200.1981985615628
1.377421801359533,210.51097239091374
1.4351614612173833,206.19130248978848
1.5832200002831298,190.1941609504649
1.5513412073277917,195.63800926908718
1.5721484783816406,194.1282243136842
1.4222503646751588,206.8184969965509
1.4707657055509256,201.75503546514085
1.4804212932413612,201.8826675188554
1.4219325129258709,205.78844585642668
1.5701336376536732,193.62410156139745
1.4953995078426652,197.8718662684505
1.4000181956724627,211.2329127399888
1.4064558344058065,208.1692770232012
1.4117459628764917,209.15742915392622
1.454211582710507,202.0024563451143
1.3880784548533183,209.43930922348076
1.5710520631647544,192.13139904656475
1.6492438142143107,193.48971193821123
1.5520386474509307,202.332265773126
1.4622892645769376,201.0194691967864
1.5415120842267793,199.10501012203636
1.4662186237410229,203.50277671793216
1.5762293938271092,192.58904370233435
1.622127184028442,191.92551444466358
1.426832638742346,204.34352640052703
1.5266230142083606,196.12779942448424
1.5120364504138513,197.3986367313849
1.3909544175986184,209.4411038994045
1.4116080983957082,206.56126208586923
1.5185965268597923,196.84388704392165
1.4659620719800825,200.02934255655924
1.4063814359846925,207.29196081040152
1.477416124453294,197.64162915613153
1.369572558520042,211.0575217620209
1.5329836101943073,199.92473733143703
1.5156707520759816,197.8655668035707
1.4247849121640912,204.59752220341315
1.487165355004004,199.64224477583022
1.4216334382881979,208.10497517403948
1.5043469075666427,200.52900178824743
1.4434478168221143,205.6560598450594
1.4633448474336503,201.3211733200544
1.4066396647624013,210.32008913581146
1.4724955980826528,202.06522591821928
1.3892949933112626,204.51695324146039
1.445722067311611,203.8585192043812
1.5015776770788838,199.10431713591746
1.6697544694466926,185.5280604041772
1.4308788251576836,204.921035052933
1.4423068450649104,207.01312584198052
1.4867874731128066,199.60412113482204
1.4541778738660949,204.69109136299053
1.497734956185912,198.13673184828752
1.541127767654017,195.48447348010913
1.4728213415665792,204.0511576074586
1.431618042593657,205.37627183915458
1.6019222025261406,191.04085194816872
1.4533916054527052,202.95734674762272
1.3725545635735612,212.83750148082146
1.5250840920051607,196.27878335209718
1.3800847587769252,211.07902409469946
1.5839148794915554,194.0826880028958
1.4621471624588704,201.71660927474196
1.3964249145284002,206.1102723931246
1.4961820772830186,195.54938281177303
1.4761833345554367,200.9106131121158
1.5612486591292987,194.64651756837316
1.4894137697948084,199.87670881789973
1.4072170797169332,208.49585806818615
1.3553307800953756,213.33075509729898
1.5085467845705711,197.75175094830314
1.5374117696651552,196.6932390599137
1.53156890231681,197.32336542053008
1.4473076533204796,201.29485185510296
1.576670926771634,192.4806626863023
1.3635457119514898,213.0925214248727
1.3751499344928613,209.9965810549597
1.449731463820626,203.87562955303088
1.5213644513045108,196.40192437212
1.4242061410120228,205.37276132035925
1.4640986536809701,201.77991710040197
1.356961878998685,211.52657124617744
1.5041450904366167,200.42358368580582
1.3615693761491716,211.23275909506663
1.5679371584280497,193.081594377189
1.4727219931388928,194.06690167990408
1.522520908858426,197.45980477435631
1.464728212777522,201.42026550255693
1.4409627022424503,204.5466294345426
1.5447661213115413,191.98408269470343
1.4089909563932044,210.20735542746817
1.4990062896314191,198.87880336888242
1.449670735227168,201.86275838408122
1.4482049536059693,203.1902916650392
1.5553747270405578,195.07237210154008
1.5522944470150999,195.31194709404562
1.6034118573758356,194.16493164461878
1.5132933989887192,200.41058884021237
1.4507937676054348,202.51841085995403
1.5971229662650657,192.0084355731918
